Residuals,Location,Spp
0.8895977,Q1,lat
0.41220395,Q1,lat
0.431768249,Q1,lat
0.584366,Q1,lat
1.934970732,Q1,lat
1.14228318,Q1,lat
0.2822717,Q1,lat
0.1255433,Q1,lat
0.901688613,Q1,lat
0.56115628,Q1,lat
1.11361726,Q1,lat
0.747946792,Q1,lat
0.08222207,Q1,lat
0.23435812,Q1,lat
0.354656571,Q1,lat
0.8937723,Q1,lat
0.53971673,Q1,lat
0.52390827,Q1,lat
2.516085,Q1,lat
1.908920169,Q1,lat
1.76099916,Q1,lat
0.4450854,Q1,lat
0.02045698,Q1,lat
0.38840427,Q1,lat
0.13380192,Q1,lat
1.17625263,Q1,lat
0.220698578,Q1,lat
0.23842516,Q1,lat
0.76787238,Q1,lat
0.281516202,Q1,lat
0.8941699,Q1,lat
0.46486225,Q1,lat
0.480313014,Q1,lat
1.509582,Q1,lat
0.093560837,Q1,lat
0.52293265,Q1,lat
0.3000718,Q1,lat
0.36282971,Q1,lat
0.008099001,Q1,lat
1.02594612,Q1,lat
0.23459885,Q1,lat
0.565722558,Q1,lat
0.60384121,Q1,lat
0.6520166,Q1,lat
0.005514962,Q1,lat
0.151751,Q1,lat
0.06401033,Q1,lat
0.007245283,Q1,lat
0.2606727,Q1,lat
1.192995357,Q1,lat
0.8288084,Q1,lat
0.4008565,Q1,lat
0.91877928,Q1,lat
0.761971225,Q1,lat
1.17495188,Q1,lat
0.24560983,Q1,lat
0.065452909,Q1,lat
0.12207518,Q1,lat
0.2166403,Q1,lat
0.196584532,Q1,lat
0.8893989,Q1,lat
0.40991445,Q1,lat
0.429657607,Q1,lat
1.5876174,Q1,lat
0.063788765,Q1,lat
3.11575091,Q1,lat
1.0597649,Q1,lat
0.54564306,Q1,lat
0.750059751,Q1,lat
1.9089697,Q1,lat
0.86555585,Q1,lat
0.925434802,Q1,lat
0.99664474,Q1,lat
0.24228601,Q1,lat
0.638859011,Q1,lat
0.8782666,Q1,lat
0.28170292,Q1,lat
1.311461656,Q1,lat
0.2303,Q1,lat
0.005679403,Q1,lat
0.46566018,Q1,lat
0.3993839,Q1,lat
0.06792047,Q1,lat
0.552031831,Q1,lat
0.43602473,Q1,lat
0.20074984,Q1,lat
0.235236628,Q1,lat
0.01318631,Q1,lat
0.58624798,Q1,lat
0.024268384,Q1,lat
0.1157697,Q1,lat
0.35038767,Q1,lat
0.374780915,Q1,lat
0.6721558,Q1,lat
0.031535687,Q1,lat
0.12463736,Q1,lat
0.774588,Q1,lat
2.20351143,Q1,lat
0.204482769,Q1,lat
0.96775475,Q1,lat
0.27594322,Q1,lat
0.140123067,Q1,lat
0.0471819,Q1,lat
0.34841121,Q1,lat
0.370264149,Q1,lat
0.8786642,Q1,lat
0.2862819,Q1,lat
0.31568294,Q1,lat
0.2368029,Q1,lat
0.003198397,Q1,lat
0.34959199,Q1,lat
0.1556025,Q1,lat
0.6897068,Q1,lat
0.64447144,Q1,lat
0.90422723,Q1,lat
0.15909606,Q1,lat
0.190212648,Q1,lat
0.14454732,Q1,lat
0.27039219,Q1,lat
0.088700451,Q1,lat
1.1227274,Q1,lat
1.27025546,Q1,lat
0.300908446,Q1,lat
1.2140426,Q1,lat
0.011881918,Q1,lat
1.25583065,Q1,lat
0.1868499,Q1,lat
0.51198864,Q1,lat
1.906709992,Q1,lat
0.18665465,Q1,lat
0.59511572,Q1,lat
0.852203423,Q1,lat
0.20752038,Q1,lat
0.42588744,Q1,lat
0.143309527,Q1,lat
0.1197455,Q1,lat
0.30459784,Q1,lat
1.332568076,Q1,lat
0.7371853,Q1,lat
0.006725627,Q1,lat
0.11468076,Q1,lat
0.3244519,Q1,lat
0.87978412,Q1,lat
0.130484523,Q1,lat
0.36523509,Q1,lat
0.50751903,Q1,lat
0.18988327,Q1,lat
0.17548183,Q1,lat
0.30696906,Q1,lat
0.540575794,Q1,lat
0.1259081,Q1,lat
0.23362359,Q1,lat
0.267138174,Q1,lat
0.837981,Q1,lat
0.031729966,Q1,lat
0.01562384,Q1,lat
0.226741,Q1,lat
0.02699321,Q1,lat
0.865316174,Q1,lat
0.90867037,Q1,lat
0.66188553,Q1,lat
0.007988414,Q1,lat
0.8306106,Q1,lat
0.85273372,Q1,lat
0.260441157,Q1,lat
0.8862183,Q1,lat
0.37328259,Q1,lat
0.395887335,Q1,lat
1.639641,Q1,lat
0.043940717,Q1,lat
1.34429642,Q1,lat
0.3996561,Q1,lat
0.61537509,Q1,lat
0.221966415,Q1,lat
0.03098542,Q1,lat
0.03232565,Q1,lat
0.165242965,Q1,lat
0.05851376,Q1,lat
0.66913229,Q1,lat
0.635108327,Q1,lat
1.1261068,Q1,lat
0.2313341,Q1,lat
0.265027532,Q1,lat
1.1587676,Q1,lat
0.967029531,Q1,lat
0.94241025,Q1,lat
0.1957658,Q1,lat
1.20182043,Q1,lat
0.686432191,Q1,lat
0.42120365,Q1,lat
0.54105864,Q1,lat
0.230500404,Q1,lat
0.45174379,Q1,lat
0.03933839,Q1,lat
0.033074425,Q1,lat
0.112589,Q1,lat
1.38701954,Q1,lat
0.591448813,Q1,lat
0.6201322,Q1,lat
0.051383735,Q1,lat
0.70390815,Q1,lat
0.7346969,Q1,lat
0.85750672,Q1,lat
0.067543397,Q1,lat
0.51022953,Q1,lat
0.85728698,Q1,lat
0.800314904,Q1,lat
0.11468712,Q1,lat
0.22156494,Q1,lat
0.474014834,Q1,lat
1.1259081,Q1,lat
0.23362359,Q1,lat
1.267138174,Q1,lat
0.162019,Q1,lat
0.031729966,Q1,lat
1.38437616,Q1,lat
0.273259,Q1,lat
0.97300679,Q1,lat
0.934683826,Q1,lat
0.19132963,Q1,lat
0.36188553,Q1,lat
0.192011586,Q1,lat
0.0693894,Q1,lat
0.25273372,Q1,lat
0.039558843,Q1,lat
0.8901941,Q1,lat
0.41907242,Q1,lat
0.438100175,Q1,lat
0.4253885,Q1,lat
0.068750777,Q1,lat
