TNHC #,COUNTY/ST,LOCATION,SAMPLING DATE,MEASUREMENT DATE,PHOTO DATE,TAG #,D,P1,P2,A,P1-R,LLSC,SALL,SBLL,SBDF,TL,SL,BD,CPD,CPL,PreDL,DbL,HL,HD,HW,SnL,OL,SPP
47942,Nueces/TX,ditch crossing SH 361 @ Howard Blvd,24-09-11,20-03-19,,AD19-001,14,14, 6-6,9,14,26,3,5,9,54.8,41.7,15.6,7.8,12.6,22.3,11.3,10,10.5,9.2,3.7,3.5,p.latipinna
47942,Nueces/TX,ditch crossing SH 361 @ Howard Blvd,24-09-11,15-03-19,,AD19-002,14,14, 6-6,9,14,25,2,5,9,53,42.9,14.95,8.5,13,20.9,11.2,13.3,9.5,8.3,3.7,3.4,p.latipinna
47942,Nueces/TX,ditch crossing SH 361 @ Howard Blvd,24-09-11,15-03-19,,AD19-003,13,13, 6-6,9,13,26,3,5,8,68.2,52.9,16,9.6,16.7,25.9,13,14,11,10.2,4.4,3.7,p.latipinna
47942,Nueces/TX,ditch crossing SH 361 @ Howard Blvd,24-09-11,15-03-19,,AD19-004,14,13, 6-6,9,13,26,4,5,9,41.1,32.7,11.3,5.9,10.2,16.9,8.2,10,7.3,6.7,2.6,2.6,p.latipinna
47942,Nueces/TX,ditch crossing SH 361 @ Howard Blvd,24-09-11,18-03-19,,AD19-005,14,13, 6-6,9,13,26,3,5,8,53.1,42.2,13.4,7,12.8,21.1,10.7,9.2,9.5,8.1,2.8,3.3,p.latipinna
47942,Nueces/TX,ditch crossing SH 361 @ Howard Blvd,24-09-11,18-03-19,,AD19-006,14,13, 6-6,NA,13,26,3,5,9,50.9,40,13.7,8,11.9,20.5,11,9.2,10.7,8.4,2.8,3.1,p.latipinna
47942,Nueces/TX,ditch crossing SH 361 @ Howard Blvd,24-09-11,18-03-19,,AD19-007,14,13, 6-6,9,13,26,4,5,9,42.4,33.1,12.3,5.9,9.5,18.3,8.7,8.5,8.2,7.2,3.3,2.9,p.latipinna
47942,Nueces/TX,ditch crossing SH 361 @ Howard Blvd,24-09-11,18-03-19,,AD19-008,14,13, 6-6,9,13,25,4,5,9,40.8,33.3,10.9,5.1,10.1,17.5,7.5,7.7,8.1,6.6,3.2,2.7,p.latipinna
47942,Nueces/TX,ditch crossing SH 361 @ Howard Blvd,24-09-11,18-03-19,,AD19-009,13,13, 6-6,9,13,26,4,5,10,44.1,34.7,11.1,6.2,10.2,18.3,8.9,8.3,8.5,6.8,3.2,3.1,p.latipinna
47942,Nueces/TX,ditch crossing SH 361 @ Howard Blvd,24-09-11,18-03-19,,AD19-010,13,13, 6-6,10,12,26,4,5,8,51.5,41.4,13.6,7.6,12.7,21,10.5,8.8,9.5,8.3,3.8,3.6,p.latipinna
47942,Nueces/TX,ditch crossing SH 361 @ Howard Blvd,24-09-11,18-03-19,,AD19-011,13,9, 6-6,9,12,24,3,5,9,51.9,41.7,13.5,7.7,12.5,20.7,10.3,9.4,9.7,8,3.2,3.8,p.latipinna
47942,Nueces/TX,ditch crossing SH 361 @ Howard Blvd,24-09-11,18-03-19,,AD19-012,14,13, 7-7,9,13,23,3,5,8,39.2,30.1,10.6,5.7,8.2,16.2,6.9,7.3,7.3,6.3,3,2.7,p.latipinna
47942,Nueces/TX,ditch crossing SH 361 @ Howard Blvd,24-09-11,18-03-19,,AD19-013,15,13, 6-6,10,13,23,4,5,9,40.5,31.8,10.6,5.4,9.7,17,8.2,7.5,7.5,6.5,3,2.8,p.latipinna
47942,Nueces/TX,ditch crossing SH 361 @ Howard Blvd,24-09-11,19-03-19,,AD19-014,13,13, 6-6,8,13,21,3,5,9,52.5,40.1,13.7,8.2,12.4,20.8,11.5,7.4,9,8.5,3.8,3.2,p.latipinna
47942,Nueces/TX,ditch crossing SH 361 @ Howard Blvd,24-09-11,19-03-19,,AD19-015,13,13, 6-6,9,13,25,3,5,6,52.5,39.7,13.9,7.6,12.7,19.9,10.1,8.6,9.5,8.3,3.6,3.6,p.latipinna
47942,Nueces/TX,ditch crossing SH 361 @ Howard Blvd,24-09-11,19-03-19,,AD19-016,15,13, 6-6,10,13,24,3,5,8,41.1,32.4,11.8,5.7,9.3,16.2,8.6,6.9,7.1,6.9,3.1,2.9,p.latipinna
47942,Nueces/TX,ditch crossing SH 361 @ Howard Blvd,24-09-11,19-03-19,,AD19-017,14,12, 6-6,9,12,25,4,5,9,39.7,30.7,11.8,5.2,9.4,16.3,7.9,7.5,7.5,6.5,3.1,2.9,p.latipinna
47942,Nueces/TX,ditch crossing SH 361 @ Howard Blvd,24-09-11,19-03-19,,AD19-018,14,14, 6-6,9,14,25,3,5,8,51.8,40.3,13.3,7.4,11.9,20.5,11.4,9.9,9.5,8.2,4.1,3.3,p.latipinna
47942,Nueces/TX,ditch crossing SH 361 @ Howard Blvd,24-09-11,19-03-19,,AD19-019,15,13, 6-6,9,13,26,4,5,8,41.6,31.7,11.1,5.4,9,17,7.7,7.9,7.3,6.7,3,3,p.latipinna
47942,Nueces/TX,ditch crossing SH 361 @ Howard Blvd,24-09-11,19-03-19,,AD19-020,13,13, 6-6,9,14,25,4,5,8,52.3,39.8,14.6,7.6,11.8,20.3,9.8,9.1,9.5,9,4.3,3.4,p.latipinna
47942,Nueces/TX,ditch crossing SH 361 @ Howard Blvd,24-09-11,20-03-19,,AD19-021,13,13, 6-6,9,13,26,4,5,10,53.5,41.1,15,7.4,11.6,21.7,11,9.7,9.6,8.6,3.6,3.2,p.latipinna
47942,Nueces/TX,ditch crossing SH 361 @ Howard Blvd,24-09-11,20-03-19,,AD19-022,13,14, 6-6,9,13,25,3,5,10,51.8,39.7,13,8,11.7,20.6,10.7,9,9,7.7,3.7,3.1,p.latipinna
47942,Nueces/TX,ditch crossing SH 361 @ Howard Blvd,24-09-11,20-03-19,,AD19-023,13,13, 6-6,10,13,25,4,5,9,52.6,41.4,14.5,8,12.1,21.5,10.8,8.9,9.5,8.3,3.9,3.2,p.latipinna
47942,Nueces/TX,ditch crossing SH 361 @ Howard Blvd,24-09-11,20-03-19,,AD19-024,14,13, 6-6,9,14,25,4,6,9,53.7,41.3,15.9,8.3,12.3,21.8,11.8,8.7,9.6,8.9,4.1,3.7,p.latipinna
47942,Nueces/TX,ditch crossing SH 361 @ Howard Blvd,24-09-11,20-03-19,,AD19-025,14,14, 6-6,10,14,25,4,6,9,38.4,29.9,10.7,5.2,8.8,15.9,7.7,6,6.7,6.2,3.5,3,p.latipinna
42610,Nueces/TX,"petronila creek, 60-100m downstream from us77",14-03-19,24-03-19,,AD19-051,14,13, 6-6,10,14,26,4,6,8,61,45,17,9,13,23,14,10,10,9,4,4,p.latipinna
42610,Nueces/TX,"petronila creek, 60-100m downstream from us77",14-03-19,24-03-19,,AD19-052,15,14, 6-6,10,14,24,4,6,8,60,44,17,9,13,22,15,10,11,9,3,4,p.latipinna
42610,Nueces/TX,"petronila creek, 60-100m downstream from us77",14-03-19,24-03-19,,AD19-053,15,14, 6-6,10,13,22,4,5,8,56,40,17,9,11,21,13,9,9,9,4,4,p.latipinna
42620,Nueces/TX,"Petronila Creek, 60-100m downstream from US77",19-3-2009,21-03-19,,AD19-026,13,14, 6-6,9,14,25,4,5,10,60,47.3,15.1,8.7,15.6,25.1,9.8,9.1,8,9.1,4,3.8,p.formosa
42620,Nueces/TX,"Petronila Creek, 60-100m downstream from US78",19-3-2009,21-03-19,,AD19-027,12,14, 6-6,9,14,24,4,5,9,48.5,37.2,12.2,7,11.2,20.5,8.4,7.2,7.7,7.4,3,3.5,p.formosa
42620,Nueces/TX,"Petronila Creek, 60-100m downstream from US79",19-3-2009,21-03-19,,AD19-028,11,14, 6-6,9,14,24,4,5,9,43.7,32.7,10.1,5.9,9.6,19.5,6.8,7.2,6.4,6.5,2.8,3.1,p.formosa
42620,Nueces/TX,"Petronila Creek, 60-100m downstream from US80",19-3-2009,21-03-19,,AD19-029,12,14, 6-6,10,14,24,4,5,9,50.3,37.6,13.1,7.4,11.5,22.1,8.3,8.3,7.9,7.8,3.4,3.3,p.formosa
42620,Nueces/TX,"Petronila Creek, 60-100m downstream from US81",19-3-2009,21-03-19,,AD19-030,13,14, 6-6,9,15,25,3,5,10,52.8,41.1,14.2,7.7,12.9,23.2,8.6,9,7.8,8.2,13.8,2.8,p.formosa
42620,Nueces/TX,"Petronila Creek, 60-100m downstream from US82",19-3-2009,21-03-19,,AD19-031,11,14, 6-6,10,15,24,4,5,10,47.9,36.8,11.3,6.7,11.1,21.6,7.2,7.4,7.3,7,3.3,3.4,p.formosa
42620,Nueces/TX,"Petronila Creek, 60-100m downstream from US83",19-3-2009,21-03-19,,AD19-032,12,14, 6-6,9,14,25,4,5,10,63.3,48.2,16.3,10.1,15.9,25.5,11.3,10.5,9.8,9.7,4.7,4.4,p.formosa
