ID,Species,Latitude,Longitude,Zone,Basin,Sub.basin
AD19-001,p.latipinna,27.8188,-97.0734,Z2,7040048420,7050048630
AD19-002,p.latipinna,27.8188,-97.0734,Z2,7040048420,7050048630
AD19-003,p.latipinna,27.8188,-97.0734,Z2,7040048420,7050048630
AD19-004,p.latipinna,27.8188,-97.0734,Z2,7040048420,7050048630
AD19-005,p.latipinna,27.8188,-97.0734,Z2,7040048420,7050048630
AD19-006,p.latipinna,27.8188,-97.0734,Z2,7040048420,7050048630
AD19-007,p.latipinna,27.8188,-97.0734,Z2,7040048420,7050048630
AD19-008,p.latipinna,27.8188,-97.0734,Z2,7040048420,7050048630
AD19-009,p.latipinna,27.8188,-97.0734,Z2,7040048420,7050048630
AD19-010,p.latipinna,27.8188,-97.0734,Z2,7040048420,7050048630
AD19-011,p.latipinna,27.8188,-97.0734,Z2,7040048420,7050048630
AD19-012,p.latipinna,27.8188,-97.0734,Z2,7040048420,7050048630
AD19-013,p.latipinna,27.8188,-97.0734,Z2,7040048420,7050048630
AD19-014,p.latipinna,27.8188,-97.0734,Z2,7040048420,7050048630
AD19-015,p.latipinna,27.8188,-97.0734,Z2,7040048420,7050048630
AD19-016,p.latipinna,27.8188,-97.0734,Z2,7040048420,7050048630
AD19-017,p.latipinna,27.8188,-97.0734,Z2,7040048420,7050048630
AD19-018,p.latipinna,27.8188,-97.0734,Z2,7040048420,7050048630
AD19-019,p.latipinna,27.8188,-97.0734,Z2,7040048420,7050048630
AD19-020,p.latipinna,27.8188,-97.0734,Z2,7040048420,7050048630
AD19-021,p.latipinna,27.8188,-97.0734,Z2,7040048420,7050048630
AD19-022,p.latipinna,27.8188,-97.0734,Z2,7040048420,7050048630
AD19-023,p.latipinna,27.8188,-97.0734,Z2,7040048420,7050048630
AD19-024,p.latipinna,27.8188,-97.0734,Z2,7040048420,7050048630
AD19-025,p.latipinna,27.8188,-97.0734,Z2,7040048420,7050048630
AD19-051,p.latipinna,27.6825,-97.7431,Z2,7040048420,7050048870
AD19-052,p.latipinna,27.6825,-97.7431,Z2,7040048420,7050048870
AD19-053,p.latipinna,27.6825,-97.7431,Z2,7040048420,7050048870
AD20-086,p.latipinna,26.07,-97.9612,Z1,7040049270,7050049270
AD20-087,p.latipinna,26.07,-97.9612,Z1,7040049270,7050049270
AD20-088,p.latipinna,26.07,-97.9612,Z1,7040049270,7050049270
AD22-020,p.latipinna,28.4966,-96.8436,Z2,7040048420,7050048860
AD22-021,p.latipinna,28.4966,-96.8436,Z2,7040048420,7050048860
AD22-022,p.latipinna,28.4966,-96.8436,Z2,7040048420,7050048860
AD22-038,p.latipinna,28.88297,-95.58666,Z3,7040048310,7050048310
