ID,SPP,SL.dig,BD1.dig,BD2.dig,CPD.dig,CPL.dig,PreDL.dig,DbL.dig,HL.dig,HD1.dig,HD2.dig,SnL.dig,OL.dig,SL.man,BD1.man,CPD.man,CPL.man,PreDL.man,DbL.man,HL.man,HD1.man,SnL.man,OL.man
AD19-001,p.lat,44.90279073,16.13108521,19.81447673,8.921525774,14.38440998,15.18219516,10.52986021,8.463702495,9.557979002,9.274355904,3.277648768,3.477303591,41.7,15.6,7.8,12.6,22.3,11.3,10,10.5,3.7,3.5
AD19-002,p.lat,44.79936319,16.15634215,18.25428803,9.688694626,14.49805126,12.60430572,12.16986625,9.479809367,10.57167125,10.00177554,3.249858683,3.753442619,42.9,14.9,8.5,13,20.9,11.2,13.3,9.5,3.7,3.4
AD19-003,p.lat,53.02279557,16.73772087,21.33436459,11.13858637,17.75575998,16.79446412,13.05555078,9.631636997,11.78624463,10.37245903,3.403451373,3.687564406,52.9,16,9.6,16.7,25.9,13,14,11,4.4,3.7
AD19-004,p.lat,33.5616067,12.27072939,14.19888135,6.896283182,9.999570524,10.24907136,8.82578226,7.248853638,8.195088779,7.774786498,2.788577106,2.968031487,32.7,11.3,5.9,10.2,16.9,8.2,10,7.3,2.6,2.6
AD19-005,p.lat,43.48504292,14.08957506,17.48890575,7.99829702,13.62765592,14.05960536,10.69248091,7.847029398,9.572763827,8.671435331,2.684007636,3.35106015,42.2,13.4,7,12.8,21.1,10.7,9.2,9.5,2.8,3.3
AD19-006,p.lat,42.6312292,14.42539475,17.8452719,8.507389096,13.45425005,13.6786341,10.60425455,8.071741382,9.832627145,9.140577593,3.126222188,3.420088673,40,13.7,8,11.9,20.5,11,9.2,10.7,2.8,3.1
AD19-007,p.lat,34.94410677,13.42995796,15.51282807,6.57306,10.52119565,11.4857877,8.350434641,6.833956979,8.38287682,7.691224614,2.531998383,2.93227849,33.1,12.3,5.9,9.5,18.3,8.7,8.5,8.2,3.3,2.9
AD19-008,p.lat,32.50975815,11.84902306,14.49242859,5.601667153,9.600287126,11.58521274,7.556732397,6.113723754,7.155494622,6.742557644,2.4988595,2.637681439,33.3,10.9,5.1,10.1,17.5,7.5,7.7,8.1,3.2,2.7
AD19-009,p.lat,36.0168405,11.85167174,14.13047747,7.01433,11.69811612,10.31260571,9.071308631,7.884379914,8.61859297,8.253377344,2.501902021,3.165210082,34.7,11.1,6.2,10.2,18.3,8.9,8.3,8.5,3.2,3.1
AD19-010,p.lat,42.41517647,14.30005053,17.9743392,8.427959969,13.61941409,13.88685214,11.00459943,8.042670247,9.509717923,8.853028464,2.588906485,3.612886939,41.4,13.6,7.6,12.7,21,10.5,8.8,9.5,3.8,3.6
AD19-011,p.lat,42.49140606,14.25732848,17.67486104,8.151812859,13.21777032,14.3259,11.02492243,7.683834533,9.811777088,9.024718549,2.744207548,3.37185321,41.7,13.5,7.7,12.5,20.7,10.3,9.4,9.7,3.2,3.8
AD19-012,p.lat,31.50549389,11.23418603,14.18289948,5.952394115,9.247981439,10.22787952,7.265943634,6.459931614,7.484377229,6.926236569,2.292120264,2.755137747,30.1,10.6,5.7,8.2,16.2,6.9,7.3,7.3,3,2.7
AD19-013,p.lat,32.84480506,10.90475964,14.29477672,6.045647128,10.05420763,11.14564572,8.555174171,6.176353236,7.008296368,6.497859968,1.990011438,2.720084893,31.8,10.6,5.4,9.7,17,8.2,7.5,7.3,3,2.8
AD19-014,p.lat,42.43166556,14.89627868,17.49002048,8.541283696,13.75380397,13.4283022,10.78501424,7.739411999,9.592132673,8.709926191,2.755303811,3.302621863,40.1,13.7,8.2,12.4,20.8,11.5,7.4,9,3.8,3.2
AD19-015,p.lat,45.14989679,14.24750338,17.55544366,8.356719477,15.72838465,12.38058488,11.31220169,9.373334632,9.863245297,9.722207937,3.502404182,3.583866331,39.7,13.9,7.6,12.7,19.9,10.1,8.6,9.5,3.6,3.6
