ID,LABELS,X.COR,Y.COR
AD19-001,LM1,2062,2090
AD19-001,LM2,2338,2213
AD19-001,LM3,2873,2300
AD19-001,LM4,3238,2210
AD19-001,LM5,3625,2166
AD19-001,LM6,3663,2008
AD19-001,LM7,3656,1849
AD19-001,LM8,3190,1808
AD19-001,LM9,3087,1760
AD19-001,LM10,2798,1729
AD19-001,LM11,2309,1873
AD19-001,LM12,2286,1886
AD19-001,LM13,2537,2000
AD19-001,LM14,2571,1900
AD19-001,LM15,2179,2088
AD19-001,LM16,2303,2094
AD19-008,LM1,2047,1298
AD19-008,LM2,2252,1380
AD19-008,LM3,2657,1485
AD19-008,LM4,2923,1424
AD19-008,LM5,3197,1408
AD19-008,LM6,3221,1310
AD19-008,LM7,3208,1206
AD19-008,LM8,2898,1184
AD19-008,LM9,2830,1140
AD19-008,LM10,2629,1058
AD19-008,LM11,2279,1123
AD19-008,LM12,2225,1138
AD19-008,LM13,2387,1234
AD19-008,LM14,2418,1167
AD19-008,LM15,2135,1278
AD19-008,LM16,2230,1285
AD20-072,LM1,2727,2157
AD20-072,LM2,2894,2220
AD20-072,LM3,3261,2257
AD20-072,LM4,3409,2207
AD20-072,LM5,3637,2166
AD20-072,LM6,3635,2079
AD20-072,LM7,3610,1999
AD20-072,LM8,3365,2000
AD20-072,LM9,3290,1989
AD20-072,LM10,3156,1976
AD20-072,LM11,2916,2021
AD20-072,LM12,2856,2048
AD20-072,LM13,3026,2091
AD20-072,LM14,3036,2042
AD20-072,LM15,2799,2138
AD20-072,LM16,2877,2138
AD20-073,LM1,2621,2679
AD20-073,LM2,2849,2745
AD20-073,LM3,3298,2789
AD20-073,LM4,3509,2715
AD20-073,LM5,3813,2647
AD20-073,LM6,3821,2536
AD20-073,LM7,3779,2423
AD20-073,LM8,3438,2440
AD20-073,LM9,3351,2416
AD20-073,LM10,3159,2411
AD20-073,LM11,2850,2491
AD20-073,LM12,2765,2533
AD20-073,LM13,2987,2588
AD20-073,LM14,3006,2508
AD20-073,LM15,2715,2655
AD20-073,LM16,2812,2657
AD20-074,LM1,2840,2440
AD20-074,LM2,3022,2507
AD20-074,LM3,3395,2554
AD20-074,LM4,3553,2500
AD20-074,LM5,3810,2443
AD20-074,LM6,3835,2352
AD20-074,LM7,3782,2264
AD20-074,LM8,3508,2277
AD20-074,LM9,3429,2264
AD20-074,LM10,3284,2247
AD20-074,LM11,3042,2296
AD20-074,LM12,2981,2319
AD20-074,LM13,3153,2396
AD20-074,LM14,3167,2334
AD20-074,LM15,2919,2427
AD20-074,LM16,3007,2429
AD20-075,LM1,2983,2367
AD20-075,LM2,3158,2416
AD20-075,LM3,3478,2455
AD20-075,LM4,3636,2397
AD20-075,LM5,3885,2347
AD20-075,LM6,3897,2262
AD20-075,LM7,3862,2183
AD20-075,LM8,3573,2188
AD20-075,LM9,3517,2172
AD20-075,LM10,3385,2162
AD20-075,LM11,3169,2217
AD20-075,LM12,3103,2248
AD20-075,LM13,3277,2298
AD20-075,LM14,3279,2250
AD20-075,LM15,3054,2341
AD20-075,LM16,3133,2341
AD20-076,LM1,2606,2328
AD20-076,LM2,2804,2401
AD20-076,LM3,3210,2465
AD20-076,LM4,3397,2413
AD20-076,LM5,3685,2372
AD20-076,LM6,3698,2267
AD20-076,LM7,3666,2168
AD20-076,LM8,3364,2178
AD20-076,LM9,3285,2150
AD20-076,LM10,3098,2137
AD20-076,LM11,2819,2179
AD20-076,LM12,2760,2201
AD20-076,LM13,2935,2269
AD20-076,LM14,2960,2213
AD20-076,LM15,2688,2320
AD20-076,LM16,2775,2331
AD20-077,LM1,2596,2448
AD20-077,LM2,2781,2511
AD20-077,LM3,3141,2556
AD20-077,LM4,3288,2510
AD20-077,LM5,3532,2454
AD20-077,LM6,3556,2360
AD20-077,LM7,3513,2280
AD20-077,LM8,3249,2304
AD20-077,LM9,3173,2284
AD20-077,LM10,3045,2275
AD20-077,LM11,2809,2316
AD20-077,LM12,2746,2338
AD20-077,LM13,2911,2404
AD20-077,LM14,2923,2345
AD20-077,LM15,2681,2442
AD20-077,LM16,2762,2442
AD20-078,LM1,2738,2284
AD20-078,LM2,2921,2347
AD20-078,LM3,3324,2381
AD20-078,LM4,3503,2321
AD20-078,LM5,3803,2266
AD20-078,LM6,3804,2169
AD20-078,LM7,3753,2079
AD20-078,LM8,3452,2095
AD20-078,LM9,3361,2079
AD20-078,LM10,3206,2074
AD20-078,LM11,2944,2125
AD20-078,LM12,2876,2154
AD20-078,LM13,3052,2220
AD20-078,LM14,3068,2154
AD20-078,LM15,2807,2264
AD20-078,LM16,2896,2264
AD20-079,LM1,3022,1850
AD20-079,LM2,3146,1907
AD20-079,LM3,3402,1950
AD20-079,LM4,3506,1914
AD20-079,LM5,3696,1883
AD20-079,LM6,3715,1823
AD20-079,LM7,3687,1761
AD20-079,LM8,3481,1771
AD20-079,LM9,3426,1752
AD20-079,LM10,3332,1737
AD20-079,LM11,3177,1749
AD20-079,LM12,3123,1766
AD20-079,LM13,3256,1823
AD20-079,LM14,3265,1780
AD20-079,LM15,3075,1831
AD20-079,LM16,3139,1836
AD20-080,LM1,2503,1867
AD20-080,LM2,2737,1952
AD20-080,LM3,3194,2064
AD20-080,LM4,3430,2019
AD20-080,LM5,3738,2015
AD20-080,LM6,3776,1898
AD20-080,LM7,3755,1774
AD20-080,LM8,3431,1734
AD20-080,LM9,3332,1685
AD20-080,LM10,3125,1595
AD20-080,LM11,2764,1680
AD20-080,LM12,2665,1716
AD20-080,LM13,2869,1780
AD20-080,LM14,2896,1706
AD20-080,LM15,2591,1838
AD20-080,LM16,2700,1836
AD20-081,LM1,3125,1977
AD20-081,LM2,3349,2081
AD20-081,LM3,3795,2214
AD20-081,LM4,4005,2173
AD20-081,LM5,4336,2160
AD20-081,LM6,4369,2042
AD20-081,LM7,4336,1919
AD20-081,LM8,4024,1881
AD20-081,LM9,3942,1832
AD20-081,LM10,3737,1761
AD20-081,LM11,3396,1818
AD20-081,LM12,3300,1845
AD20-081,LM13,3504,1932
AD20-081,LM14,3536,1861
AD20-081,LM15,3220,1954
AD20-081,LM16,3319,1963
AD20-082,LM1,2518,2371
AD20-082,LM2,2731,2459
AD20-082,LM3,3158,2565
AD20-082,LM4,3374,2521
AD20-082,LM5,3677,2518
AD20-082,LM6,3709,2401
AD20-082,LM7,3671,2292
AD20-082,LM8,3352,2252
AD20-082,LM9,3279,2212
AD20-082,LM10,3071,2139
AD20-082,LM11,2778,2192
AD20-082,LM12,2663,2225
AD20-082,LM13,2865,2307
AD20-082,LM14,2894,2225
AD20-082,LM15,2598,2340
AD20-082,LM16,2695,2341
AD20-083,LM1,2723,1991
AD20-083,LM2,2938,2056
AD20-083,LM3,3448,2136
AD20-083,LM4,3707,2053
AD20-083,LM5,4018,2008
AD20-083,LM6,4040,1877
